scientificName
"Struthio camelus Linnaeus, 1758"
"Struthio molybdophanes Reichenow, 1883"
"Rhea americana (Linnaeus, 1758)"
"Rhea pennata d'Orbigny, 1837"
"Apteryx australis Shaw, 1813"
"Apteryx mantelli A. D. Bartlett, 1852"
"Apteryx rowi Tennyson, Palma, H. A. Robertson, Worthy & B. J. Gill, 2003"
"Apteryx owenii Gould, 1847"
"Apteryx haastii Potts, 1872"
"Casuarius casuarius (Linnaeus, 1758)"
"Casuarius bennetti Gould, 1857"
"Casuarius unappendiculatus Blyth, 1860"
"Dromaius novaehollandiae (Latham, 1790)"
"Tinamus tao Temminck, 1815"
"Tinamus solitarius (Vieillot, 1819)"
"Tinamus osgoodi Conover, 1949"
"Tinamus major (J. F. Gmelin, 1789)"
"Tinamus guttatus Pelzeln, 1863"
"Nothocercus bonapartei (G. R. Gray, 1867)"
"Nothocercus julius (Bonaparte, 1854)"
"Nothocercus nigrocapillus (G. R. Gray, 1867)"
"Crypturellus berlepschi (Rothschild, 1897)"
"Crypturellus cinereus (J. F. Gmelin, 1789)"
"Crypturellus soui (Hermann, 1783)"
"Crypturellus ptaritepui J. T. Zimmer & Phelps, 1945"
"Crypturellus obsoletus (Temminck, 1815)"
"Crypturellus undulatus (Temminck, 1815)"
"Crypturellus transfasciatus (P. L. Sclater & Salvin, 1878)"
"Crypturellus strigulosus (Temminck, 1815)"
"Crypturellus duidae J. T. Zimmer, 1938"
"Crypturellus erythropus (Pelzeln, 1863)"
"Crypturellus noctivagus (Wied-Neuwied, 1820)"
"Crypturellus atrocapillus (Tschudi, 1844)"
"Crypturellus cinnamomeus (P. A. Lesson, 1842)"
"Crypturellus boucardi (P. L. Sclater, 1860)"
"Crypturellus kerriae (Chapman, 1915)"
"Crypturellus variegatus (J. F. Gmelin, 1789)"
"Crypturellus brevirostris (Pelzeln, 1863)"
"Crypturellus bartletti (P. L. Sclater & Salvin, 1873)"
"Crypturellus parvirostris (Wagler, 1827)"
"Crypturellus casiquiare (Chapman, 1929)"
"Crypturellus tataupa (Temminck, 1815)"
